IncidentNumber,DateOfCall,TimeOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,IncGeo_BoroughCode,IncGeo_BoroughName,IncGeo_WardCode,IncGeo_WardName,Easting_m,Northing_m,Easting_rounded,Northing_rounded,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending
000196-01012017,01.Jan.17,08:19:28,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,E17 3HT,E17,E09000031,WALTHAM FOREST,E05000609,WOOD STREET,538291,189920,538250,189950,London,Walthamstow,215,Walthamstow,NULL,,1,1
000197-01012017,01.Jan.17,08:23:45,Special Service,Special Service,Spills and Leaks (not RTC),Road Vehicle,Lorry/HGV ,In street close to gazetteer location,WC2N 5DS,WC2N,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,530006,180397,530050,180350,London,Soho,39,Soho,NULL,,1,1
000198-01012017,01.Jan.17,08:27:43,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,House - single occupancy ,Correct incident location,,SM4,E09000024,MERTON,E05000465,LOWER MORDEN,NULL,NULL,524050,167550,London,New Malden,332,Wimbledon,NULL,,1,1
000199-01012017,01.Jan.17,08:30:36,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,DA8,E09000004,BEXLEY,E05000079,NORTH END,NULL,NULL,551650,177550,London,Erith,275,Erith,313,Bexley,2,2
000201-01012017,01.Jan.17,08:42:27,False Alarm,AFA,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SW12,E09000032,WANDSWORTH,E05000610,BALHAM,NULL,NULL,528150,174050,London,Tooting,235,Tooting,256,Tooting,1,2
000203-01012017,01.Jan.17,08:54:55,False Alarm,AFA,,Non Residential,Purpose built office ,Correct incident location,EC2M 7LS,EC2M,E09000001,CITY OF LONDON,E05009292,BISHOPSGATE,532937,181706,532950,181750,London,Shoreditch,199,Shoreditch,NULL,,1,1
000204-01012017,01.Jan.17,08:58:44,Special Service,Special Service,Spills and Leaks (not RTC),Outdoor,Road surface/pavement ,In street outside gazetteer location,SE23 3QU,SE23,E09000028,SOUTHWARK,E05000547,PECKHAM RYE,535218,174074,535250,174050,London,Forest Hill,421,New Cross,NULL,,1,1
000205-01012017,01.Jan.17,09:09:50,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SE4,E09000023,LEWISHAM,E05000441,CROFTON PARK,NULL,NULL,536550,174050,London,Forest Hill,257,Lewisham,577,Greenwich,2,2
000207-01012017,01.Jan.17,09:11:41,Special Service,Special Service,Medical Incident - Co-responder,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SW11,E09000032,WANDSWORTH,E05000617,LATCHMERE,NULL,NULL,526650,175450,London,Battersea,204,Battersea,NULL,,1,1
000209-01012017,01.Jan.17,09:20:00,Special Service,Special Service,RTC,Road Vehicle,Car ,On land associated with building,CR5 2HG,CR5,E09000008,CROYDON,E05000150,COULSDON EAST,530716,158706,530750,158750,London,Purley,281,Purley,528,Wallington,2,2
000210-01012017,01.Jan.17,09:20:19,False Alarm,AFA,,Non Residential,Church/Chapel ,Within same building,SE18 6NL,SE18,E09000011,GREENWICH,E05000230,WOOLWICH RIVERSIDE,543233,179157,543250,179150,London,Plumstead,243,Plumstead,NULL,,1,1
000212-01012017,01.Jan.17,09:25:41,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,,NW10,E09000005,BRENT,E05000100,STONEBRIDGE,NULL,NULL,520950,184150,London,Park Royal,271,Willesden,NULL,,1,1
000213-01012017,01.Jan.17,09:28:34,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,TW5 0EH,TW5,E09000018,HOUNSLOW,E05000357,HESTON WEST,512362,177737,512350,177750,London,Southall,421,Heston,NULL,,1,1
000217-01012017,01.Jan.17,09:50:13,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW16,E09000022,LAMBETH,E05000432,STREATHAM WELLS,NULL,NULL,530350,172550,London,West Norwood,313,West Norwood,NULL,,1,1
000218-01012017,01.Jan.17,09:51:07,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE15,E09000028,SOUTHWARK,E05000543,LIVESEY,NULL,NULL,534450,177550,London,Old Kent Road,278,Peckham,519,Deptford,4,4
000221-01012017,01.Jan.17,09:55:49,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,HA2,E09000015,HARROW,E05000301,ROXBOURNE,NULL,NULL,512350,185850,London,Northolt,372,Northolt,415,Harrow,2,2
000222-01012017,01.Jan.17,09:59:17,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,,E3,E09000030,TOWER HAMLETS,E05009322,BROMLEY SOUTH,NULL,NULL,537450,181850,London,Poplar,NULL,,NULL,,1,1
000224-01012017,01.Jan.17,10:08:07,False Alarm,False alarm - Good intent,,Dwelling,Bungalow - single occupancy ,Correct incident location,,HA3,E09000005,BRENT,E05000093,KENTON,NULL,NULL,517850,188650,London,Stanmore,218,Stanmore,NULL,,1,2
000226-01012017,01.Jan.17,10:15:32,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,,IG8,E09000026,REDBRIDGE,E05000511,RODING,NULL,NULL,541250,190950,London,Woodford,231,Woodford,NULL,,1,1
000229-01012017,01.Jan.17,10:19:57,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Within same building,BR3 4LR,BR3,E09000006,BROMLEY,E05000112,CLOCK HOUSE,536819,169494,536850,169450,London,Beckenham,15,Beckenham,NULL,,1,1
000231-01012017,01.Jan.17,10:22:02,False Alarm,AFA,,Non Residential,Church/Chapel ,Within same building,SE18 6NL,SE18,E09000011,GREENWICH,E05000230,WOOLWICH RIVERSIDE,543233,179158,543250,179150,London,Plumstead,261,Plumstead,NULL,,1,1
000233-01012017,01.Jan.17,10:39:29,Fire,Secondary Fire,,Outdoor Structure,Barbeque ,In street close to gazetteer location,W10 6EW,W10,E09000020,KENSINGTON AND CHELSEA,E05009399,NOTTING DALE,523682,180811,523650,180850,London,North Kensington,379,North Kensington,469,Kensington,2,2
000234-01012017,01.Jan.17,10:41:33,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SE15 3HE,SE15,E09000028,SOUTHWARK,E05000545,NUNHEAD,535242,175800,535250,175850,London,New Cross,418,Greenwich,537,Deptford,2,2
000236-01012017,01.Jan.17,10:41:53,False Alarm,False alarm - Good intent,,Non Residential,Single shop ,Correct incident location,CR0 4HY,CR0,E09000008,CROYDON,E05000167,WADDON,531471,163820,531450,163850,London,Croydon,313,Norbury,363,Purley,2,2
000237-01012017,01.Jan.17,10:43:47,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,WC2H 7BL,WC2H,E09000033,WESTMINSTER,E05000644,ST. JAMES'S,529783,180792,529750,180750,London,Soho,191,Soho,216,Soho,1,2
000238-01012017,01.Jan.17,10:48:26,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,N1,E09000019,ISLINGTON,E05000369,CANONBURY,NULL,NULL,532850,184550,London,Islington,250,Homerton,308,Shoreditch,3,3
000240-01012017,01.Jan.17,10:51:35,Special Service,Special Service,Effecting entry/exit,Other Residential,Nursing/Care Home/Hospice,Correct incident location,SM6 0EU,SM6,E09000029,SUTTON,E05000570,WALLINGTON SOUTH,528774,163598,528750,163550,London,Wallington,190,Wallington,NULL,,1,1
000243-01012017,01.Jan.17,11:04:10,Special Service,Special Service,Medical Incident,Outdoor,Woodland/forest - broadleaf/hardwood ,Open land/water - nearest gazetteer location,EN5 5QL,EN5,E09000003,BARNET,E05000056,HIGH BARNET,526183,197239,526150,197250,London,Barnet,397,Barnet,NULL,,1,1
000244-01012017,01.Jan.17,11:10:04,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,In street close to gazetteer location,EC2M 2TE,EC2M,E09000001,CITY OF LONDON,E05009292,BISHOPSGATE,532887,181750,532850,181750,London,Shoreditch,225,Shoreditch,NULL,,1,1
000245-01012017,01.Jan.17,11:14:47,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,NW4,E09000003,BARNET,E05000055,HENDON,NULL,NULL,524050,189350,London,Hendon,236,Hendon,239,Hendon,1,2
000246-01012017,01.Jan.17,11:21:36,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SW1X,E09000033,WESTMINSTER,E05000637,KNIGHTSBRIDGE AND BELGRAVIA,NULL,NULL,528250,179050,London,Chelsea,NULL,,NULL,,1,1
000247-01012017,01.Jan.17,11:26:31,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,W4,E09000018,HOUNSLOW,E05000349,CHISWICK RIVERSIDE,NULL,NULL,520450,177450,London,Chiswick,241,Richmond,272,Chiswick,2,2
000249-01012017,01.Jan.17,11:33:52,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,W3,E09000009,EALING,E05000170,ACTON CENTRAL,NULL,NULL,519950,180950,London,Acton,251,Acton,NULL,,1,1
000250-01012017,01.Jan.17,11:51:28,Special Service,Special Service,No action (not false alarm),Outdoor Structure,Railings,Open land/water - nearest gazetteer location,E9 5HP,E9,E09000030,TOWER HAMLETS,E05009319,BOW EAST,536912,184155,536950,184150,London,Homerton,202,Homerton,NULL,,1,1
000251-01012017,01.Jan.17,11:53:13,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,W13,E09000009,EALING,E05000176,ELTHORNE,NULL,NULL,516450,180450,London,Ealing,300,Acton,390,Southall,2,2
000252-01012017,01.Jan.17,11:58:44,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E15,E09000025,NEWHAM,E05000494,WEST HAM,NULL,NULL,539750,183450,London,Stratford,NULL,,NULL,,1,1
000255-01012017,01.Jan.17,12:04:20,False Alarm,AFA,,Non Residential,Hospital ,Correct incident location,KT2 7QB,KT2,E09000021,KINGSTON UPON THAMES,E05000406,COOMBE HILL,519488,169773,519450,169750,London,Kingston,325,Kingston,355,Kingston,2,3
000256-01012017,01.Jan.17,12:06:08,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,HA7,E09000015,HARROW,E05000299,QUEENSBURY,NULL,NULL,518150,190050,London,Stanmore,153,Stanmore,NULL,,1,1
000257-01012017,01.Jan.17,12:14:35,False Alarm,AFA,,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Within same building,,N16,E09000012,HACKNEY,E05009382,SHACKLEWELL,NULL,NULL,533650,185650,London,Stoke Newington,378,Homerton,392,Homerton,2,3
000258-01012017,01.Jan.17,12:20:18,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,E1,E09000030,TOWER HAMLETS,E05009332,SHADWELL,NULL,NULL,535250,180850,London,Shadwell,223,Shadwell,NULL,,1,1
000260-01012017,01.Jan.17,12:23:37,Special Service,Special Service,Animal assistance incidents,Non Residential,Single shop ,Within same building,CR0 1TL,CR0,E09000008,CROYDON,E05000149,BROAD GREEN,532185,165905,532150,165950,London,Croydon,871,Woodside,NULL,,1,1
000261-01012017,01.Jan.17,12:28:08,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,SE15,E09000028,SOUTHWARK,E05000546,PECKHAM,NULL,NULL,533950,177150,London,Peckham,150,Peckham,230,Old Kent Road,2,2
000263-01012017,01.Jan.17,12:36:03,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,,N1,E09000019,ISLINGTON,E05000380,ST. PETER'S,NULL,NULL,532050,183450,London,Islington,454,Shoreditch,NULL,,1,1
000264-01012017,01.Jan.17,12:36:31,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW18,E09000032,WANDSWORTH,E05000624,SOUTHFIELDS,NULL,NULL,525250,173150,London,Wandsworth,409,Wimbledon,457,Tooting,2,2
000265-01012017,01.Jan.17,12:38:05,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,NW1,E09000007,CAMDEN,E05000131,CANTELOWES,NULL,NULL,529750,184850,London,Kentish Town,211,Kentish Town,212,Kentish Town,1,2
000268-01012017,01.Jan.17,12:40:06,Fire,Primary Fire,,Road Vehicle,Car ,In street outside gazetteer location,HA3 5RQ,HA3,E09000015,HARROW,E05000304,WEALDSTONE,515069,189993,515050,189950,London,Harrow,463,Stanmore,NULL,,1,1
000271-01012017,01.Jan.17,12:48:14,Fire,Secondary Fire,,Outdoor,Domestic garden (vegetation not equipment) ,Nearby address - no building in street,CR0 4HD,CR0,E09000008,CROYDON,E05000167,WADDON,531855,164726,531850,164750,London,Croydon,492,Wallington,NULL,,1,1
000273-01012017,01.Jan.17,12:48:57,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,SM6,E09000029,SUTTON,E05000569,WALLINGTON NORTH,NULL,NULL,528750,164450,London,Wallington,435,Purley,480,Mitcham,2,2
000275-01012017,01.Jan.17,12:51:48,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,SE27,E09000022,LAMBETH,E05000424,KNIGHT'S HILL,NULL,NULL,532150,171350,London,West Norwood,184,West Norwood,237,West Norwood,1,2
000276-01012017,01.Jan.17,12:57:24,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,,NW1,E09000007,CAMDEN,E05000131,CANTELOWES,NULL,NULL,529250,184550,London,Kentish Town,184,Kentish Town,228,Kentish Town,1,2
000277-01012017,01.Jan.17,13:00:33,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,NW8,E09000007,CAMDEN,E05000144,SWISS COTTAGE,NULL,NULL,526450,183950,London,West Hampstead,346,West Hampstead,585,West Hampstead,1,2
000280-01012017,01.Jan.17,13:16:05,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,N19,E09000019,ISLINGTON,E05000381,TOLLINGTON,NULL,NULL,530050,186650,London,Holloway,212,Holloway,453,Islington,2,2
000281-01012017,01.Jan.17,13:20:35,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SW6 2BN,SW6,E09000013,HAMMERSMITH AND FULHAM,E05000260,PARSONS GREEN AND WALHAM,525917,176716,525950,176750,London,Fulham,267,Fulham,457,Battersea,2,2
000282-01012017,01.Jan.17,13:22:42,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Correct incident location,SW19 3AN,SW19,E09000024,MERTON,E05000466,MERTON PARK,525036,169793,525050,169750,London,Wimbledon,161,Wimbledon,334,New Malden,2,2
000284-01012017,01.Jan.17,13:31:27,Special Service,Flood call attended - Batch mobilised,Flooding,Non Residential,Day care/Drop in centre,Correct incident location,W12 7LL,W12,E09000013,HAMMERSMITH AND FULHAM,E05000265,WORMHOLT AND WHITE CITY,522612,180111,522650,180150,London,Hammersmith,NULL,,NULL,,1,1
000285-01012017,01.Jan.17,13:33:38,Fire,Primary Fire,,Dwelling,House - single occupancy ,Correct incident location,,IG11,E09000002,BARKING AND DAGENHAM,E05000039,THAMES,NULL,NULL,546150,182450,London,Barking,234,Barking,443,East Ham,2,2
000287-01012017,01.Jan.17,13:35:21,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,,E17,E09000031,WALTHAM FOREST,E05000606,MARKHOUSE,NULL,NULL,536250,188350,London,Walthamstow,329,Walthamstow,330,Walthamstow,1,2
000288-01012017,01.Jan.17,13:35:48,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Within same building,,NW6,E09000005,BRENT,E05000094,KILBURN,NULL,NULL,525050,182950,London,Paddington,302,Paddington,361,North Kensington,2,2
000289-01012017,01.Jan.17,13:37:52,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,KT5,E09000021,KINGSTON UPON THAMES,E05000401,BERRYLANDS,NULL,NULL,518750,166950,London,Surbiton,490,Kingston,579,Kingston,1,2
000290-01012017,01.Jan.17,13:39:44,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,CR0 2AU,CR0,E09000008,CROYDON,E05000153,FAIRFIELD,532677,166444,532650,166450,London,Croydon,267,Woodside,NULL,,2,3
000292-01012017,01.Jan.17,13:44:14,False Alarm,AFA,,Non Residential,Other entertainment venue ,Within same building,TW13 7EF,TW13,E09000018,HOUNSLOW,E05000354,HANWORTH PARK,510911,172900,510950,172950,London,Feltham,280,Feltham,NULL,,1,1
000293-01012017,01.Jan.17,13:53:04,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,SE18,E09000011,GREENWICH,E05000229,WOOLWICH COMMON,NULL,NULL,543950,178250,London,Plumstead,274,Plumstead,NULL,,1,1
000295-01012017,01.Jan.17,14:00:08,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,,TW3,E09000018,HOUNSLOW,E05000358,HOUNSLOW CENTRAL,NULL,NULL,514050,175850,London,Heston,NULL,,NULL,,1,1
000296-01012017,01.Jan.17,14:06:53,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,SW8,E09000022,LAMBETH,E05000429,STOCKWELL,NULL,NULL,530650,177150,London,Lambeth,383,Lambeth,567,Lambeth,1,2
000298-01012017,01.Jan.17,14:17:24,False Alarm,False alarm - Good intent,,Non Residential,Restaurant/cafe,Correct incident location,E4 7QH,E4,E09000031,WALTHAM FOREST,E05000593,CHINGFORD GREEN,539649,194764,539650,194750,London,Chingford,159,Chingford,296,Woodford,2,2
000299-01012017,01.Jan.17,14:22:25,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,KT3 4RW,KT3,E09000024,MERTON,E05000473,WEST BARNES,522158,168131,522150,168150,London,New Malden,13,New Malden,NULL,,1,1
000302-01012017,01.Jan.17,14:26:23,False Alarm,AFA,,Non Residential,Large supermarket ,Correct incident location,CR8 2HA,CR8,E09000008,CROYDON,E05000159,PURLEY,531243,161515,531250,161550,London,Purley,273,Purley,NULL,,1,1
000304-01012017,01.Jan.17,14:32:26,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,,TW3,E09000018,HOUNSLOW,E05000360,HOUNSLOW SOUTH,NULL,NULL,514450,174750,London,Heston,315,Heston,318,Heston,2,3
000306-01012017,01.Jan.17,14:48:06,Fire,Primary Fire,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,,SW17,E09000032,WANDSWORTH,E05000616,GRAVENEY,NULL,NULL,527750,170850,London,Tooting,298,Tooting,300,Tooting,1,2
000308-01012017,01.Jan.17,14:51:23,False Alarm,False alarm - Good intent,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E5,E09000012,HACKNEY,E05009383,SPRINGFIELD,NULL,NULL,534950,186750,London,Stoke Newington,300,Stoke Newington,328,Stoke Newington,1,2
000309-01012017,01.Jan.17,14:57:05,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,,E17,E09000031,WALTHAM FOREST,E05000606,MARKHOUSE,NULL,NULL,536850,188850,London,Walthamstow,161,Walthamstow,167,Walthamstow,1,2
000310-01012017,01.Jan.17,14:57:17,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,E6,E09000025,NEWHAM,E05000475,BECKTON,NULL,NULL,543450,181450,London,East Ham,391,Plaistow,NULL,,1,1
000311-01012017,01.Jan.17,15:02:50,False Alarm,AFA,,Non Residential,Converted office ,Correct incident location,SW3 4TX,SW3,E09000020,KENSINGTON AND CHELSEA,E05009403,ROYAL HOSPITAL,527669,178421,527650,178450,London,Chelsea,331,Lambeth,NULL,,1,1
000312-01012017,01.Jan.17,15:04:28,Special Service,Special Service,Effecting entry/exit,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,,KT6,E09000021,KINGSTON UPON THAMES,E05000412,ST. MARK'S,NULL,NULL,517750,167350,London,Surbiton,374,Surbiton,NULL,,1,1
000314-01012017,01.Jan.17,15:08:08,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,,SE26,E09000023,LEWISHAM,E05000450,PERRY VALE,NULL,NULL,536350,172050,London,Forest Hill,436,Lewisham,467,Beckenham,2,2
000316-01012017,01.Jan.17,15:11:48,False Alarm,AFA,,Other Residential,Hotel/motel ,Correct incident location,NW3 3HP,NW3,E09000007,CAMDEN,E05000128,BELSIZE,526819,184432,526850,184450,London,West Hampstead,261,West Hampstead,NULL,,1,1
000317-01012017,01.Jan.17,15:14:57,Fire,Secondary Fire,,Outdoor Structure,Small refuse/rubbish container,In street outside gazetteer location,DA17 6LH,DA17,E09000004,BEXLEY,E05000065,BELVEDERE,549407,178768,549450,178750,London,Erith,214,Erith,NULL,,1,1
